idProd,nombre,marca,precio,cantidad,barCode,linkImg,grupo,linkPag,activo,idAuto
325479,Suprema 3 ARROYOS envasado x 600 g,3 ARROYOS,465.0,0,,https://geant.vteximg.com.br/arquivos/ids/237883-250-250/325479.jpg?v=637039776602600000,frescos,https://www.disco.com.uy/costillas-redonda-premium-325479/p,1,14077
270270,Queso para sandwich LOVER x 50 g,LOVER,480.0,0,,https://geant.vteximg.com.br/arquivos/ids/201098-250-250/270270-1.jpg?v=636368545696030000,frescos,https://www.disco.com.uy/queso-para-sandwich-lover-el-kg-270270/p,1,14078
270250,Queso gouda CONAPROLE 50 g,CONAPROLE,495.0,0,,https://geant.vteximg.com.br/arquivos/ids/294877-250-250/270250.jpg?v=637800923956400000,frescos,https://www.disco.com.uy/queso-gouda-conaprole-el-kg-270250/p,1,14079
331626,Palta HASS Chilena x un.,Frutas,59.0,0,,https://geant.vteximg.com.br/arquivos/ids/203134-250-250/331626.jpg?v=636378737117800000,frescos,https://www.disco.com.uy/frankfurters-largos-schneck-8-un-331626/p,1,14080
270049,Queso muzzarella BANIL procesada x 50 g,BANIL,390.0,0,,https://geant.vteximg.com.br/arquivos/ids/201080-250-250/270049-1.jpg?v=636368544845100000,frescos,https://www.disco.com.uy/queso-muzzarella-procesada-banil-el-kg-270049/p,1,14081
270024,Queso cheddar hamburguesa Conaprole,CONAPROLE,156.0,0,,https://geant.vteximg.com.br/arquivos/ids/205705-250-250/270024.jpg?v=636403720941400000,frescos,https://www.disco.com.uy/queso-cheddar-hamburguesa-conaprole-270024/p,1,14082
100415,Arroz con Leche por porción x 150 g,-,209.0,0,,https://geant.vteximg.com.br/arquivos/ids/227215-250-250/100415.jpg?v=636822028214430000,frescos,https://www.disco.com.uy/arroz-con-leche-el-kg-100415/p,1,14083
299090,Pan de Viena 8 un.,-,69.0,0,,https://geant.vteximg.com.br/arquivos/ids/227243-250-250/299090.jpg?v=636822214192130000,frescos,https://www.disco.com.uy/pan-de-viena-x-8-299090/p,1,14084
333849,Tomate cherry perita petaca 500 g,Hortalizas,89.0,0,,https://geant.vteximg.com.br/arquivos/ids/313218-250-250/333849.jpg?v=637914999093170000,frescos,https://www.disco.com.uy/chorizo-extra-centenario-al-vacio-x-4-un-333849/p,1,14085
295997,Grisines Italianos 150 g,-,120.0,0,,https://geant.vteximg.com.br/arquivos/ids/251198-250-250/295997.jpg?v=637262853299200000,frescos,https://www.disco.com.uy/grisines-italianos-150-g-295997/p,1,14086
